CO.Cliente,MUN,LAT,LONG
2301,VALINHOS,-22.95188,-47.02779
2302,CAMPINAS,-22.89429,-47.05822
2303,CAMPINAS,-22.92634,-47.03974
2304,CAMPINAS,-22.83309,-47.07943
2305,CAMPINAS,-22.82307,-47.07818
2306,VALINHOS,-22.97509,-47.01478
2307,CAMPINAS,-22.94956,-47.09268
2308,CAMPINAS,-22.88062,-46.96944
2309,AMERICANA,-22.72237,-47.3074
2310,SAO PAULO,-23.47084,-46.64965
2311,PIRACICABA,-22.74145,-47.60181
2312,JACAREI,-23.31105,-45.98107
2313,SAO JOSE DOS CAMPOS,-23.22299,-45.90595
2314,SAO JOSE DOS CAMPOS,-23.22828463,-45.90852209
2315,SAO JOSE DOS CAMPOS,-23.2374,-45.8966
2316,SAO JOSE DOS CAMPOS,-23.24187,-45.905
2317,SAO JOSE DOS CAMPOS,-23.22836,-45.91124
2318,SAO JOSE DOS CAMPOS,-23.17422,-45.81629
2319,SAO PAULO,-23.51672,-46.6704
2320,SAO PAULO,-23.55224,-46.74232
2321,SAO PAULO,-23.54149,-46.7306
2322,SAO PAULO,-23.53466,-46.71295
2323,SAO PAULO,-23.59032,-46.73951
2324,SAO PAULO,-23.59551,-46.73765
2325,SAO PAULO,-23.60962,-46.75296
2326,COTIA,-23.58915,-46.8169
2327,SAO PAULO,-23.61184,-46.74081
2328,SAO PAULO,-23.6705,-46.64785
2329,SAO BERNARDO DO CAMPO,-23.67408,-46.57141
2330,MAUA,-23.66289,-46.48223
2331,OSASCO,-23.55164,-46.79466
2332,SAO PAULO,-23.48552,-46.73883
2333,SAO PAULO,-23.46722,-46.58475
2334,SANTANA DE PARNAIBA,-23.46668,-46.84622
2335,SANTANA DE PARNAIBA,-23.46236,-46.87601
2336,SAO CARLOS,-22.0445,-47.88998
2337,SAO CARLOS,-22.02384,-47.88021
2338,SAO CARLOS,-22.03848,-47.86018
2339,TAUBATE,-23.01733,-45.55106
2340,TAUBATE,-22.99756,-45.54006
2341,CACAPAVA,-23.07223,-45.71227
2342,CACAPAVA,-23.11919,-45.71347
2343,PINDAMONHANGABA,-22.95467,-45.49489
2344,SOROCABA,-23.46587,-47.49623
2345,SOROCABA,-23.49563,-47.51121
2346,SOROCABA,-23.48649,-47.47117
2347,RIBEIRAO PRETO,-21.19498,-47.75589
2348,RIBEIRAO PRETO,-21.14118,-47.80482
2349,RIBEIRAO PRETO,-21.17516,-47.79455
2350,BAURU,-22.3121,-49.05746
2351,BAURU,-22.31628,-49.06815
