CO.Fabrica,CO.Cliente,frete/unidade
3424402,2301,0.44276367636822417
3424402,2302,0.40900359739368997
3424402,2303,0.3985878821451509
3424402,2304,0.40574422527158377
3424402,2305,0.42364105915125655
3424402,2306,0.3955317536813922
3424402,2307,0.4323230638263536
3424402,2308,0.39444533866057835
3424402,2309,0.4810307400435074
3424402,2310,0.3962063736263736
3424402,2311,0.563350081690398
3424402,2319,0.3962148299319728
3424402,2320,0.3159
3424402,2321,0.3159
3424402,2322,0.32302482758620693
3424402,2323,0.2888675
3424402,2324,0.31797361111111117
3424402,2325,0.2888675
3424402,2326,0.3126418893480257
3424402,2327,0.2888675
3424402,2328,0.3515780555555556
3424402,2329,0.3234179166666667
3424402,2330,0.3159
3424402,2331,0.3325266666666667
3424402,2332,0.30011333333333334
3424402,2333,0.3646466666666667
3424402,2334,0.3171306321839081
3424402,2335,0.32995299582463467
3424402,2336,0.7220055115801818
3424402,2337,0.7067400879917185
3424402,2338,0.7031721745179885
3424402,2344,0.47938025347817803
3424402,2345,0.49088833120476794
3424402,2346,0.47474808080808084
3424402,2347,0.9008485807096451
3424402,2348,0.963581831693317
3424402,2349,1.0546297222222223
3424402,2350,1.0180790901027077
3424402,2351,1.0852333333333333
